id,name,neighbourhood_group
0,Kensington,Brooklyn
1,Midtown,Manhattan
2,Harlem,Manhattan
3,Clinton Hill,Brooklyn
4,East Harlem,Manhattan
5,Murray Hill,Manhattan
6,Bedford-Stuyvesant,Brooklyn
7,Hell's Kitchen,Manhattan
8,Upper West Side,Manhattan
9,Chinatown,Manhattan
12,South Slope,Brooklyn
14,West Village,Manhattan
15,Williamsburg,Brooklyn
16,Fort Greene,Brooklyn
17,Chelsea,Manhattan
18,Crown Heights,Brooklyn
21,Park Slope,Brooklyn
25,Windsor Terrace,Brooklyn
26,Inwood,Manhattan
29,East Village,Manhattan
32,Greenpoint,Brooklyn
37,Bushwick,Brooklyn
38,Flatbush,Brooklyn
39,Lower East Side,Manhattan
45,Prospect-Lefferts Gardens,Brooklyn
46,Long Island City,Queens
54,Kips Bay,Manhattan
59,SoHo,Manhattan
62,Upper East Side,Manhattan
63,Prospect Heights,Brooklyn
73,Washington Heights,Manhattan
77,Woodside,Queens
85,Brooklyn Heights,Brooklyn
101,Carroll Gardens,Brooklyn
109,Gowanus,Brooklyn
136,Flatlands,Brooklyn
142,Cobble Hill,Brooklyn
143,Flushing,Queens
158,Boerum Hill,Brooklyn
161,Sunnyside,Queens
163,DUMBO,Brooklyn
169,St. George,Staten Island
171,Highbridge,Bronx
174,Financial District,Manhattan
181,Ridgewood,Queens
182,Morningside Heights,Manhattan
196,Jamaica,Queens
199,Middle Village,Queens
211,NoHo,Manhattan
218,Ditmars Steinway,Queens
223,Flatiron District,Manhattan
227,Roosevelt Island,Manhattan
234,Greenwich Village,Manhattan
241,Little Italy,Manhattan
246,East Flatbush,Brooklyn
249,Tompkinsville,Staten Island
257,Astoria,Queens
260,Clason Point,Bronx
261,Eastchester,Bronx
309,Kingsbridge,Bronx
342,Two Bridges,Manhattan
360,Queens Village,Queens
367,Rockaway Beach,Queens
403,Forest Hills,Queens
419,Nolita,Manhattan
433,Woodlawn,Bronx
484,University Heights,Bronx
486,Gravesend,Brooklyn
494,Gramercy,Manhattan
510,Allerton,Bronx
521,East New York,Brooklyn
553,Theater District,Manhattan
557,Concourse Village,Bronx
560,Sheepshead Bay,Brooklyn
571,Emerson Hill,Staten Island
575,Fort Hamilton,Brooklyn
577,Bensonhurst,Brooklyn
587,Tribeca,Manhattan
598,Shore Acres,Staten Island
608,Sunset Park,Brooklyn
610,Concourse,Bronx
650,Elmhurst,Queens
671,Brighton Beach,Brooklyn
683,Jackson Heights,Queens
694,Cypress Hills,Brooklyn
698,St. Albans,Queens
702,Arrochar,Staten Island
736,Rego Park,Queens
737,Wakefield,Bronx
866,Clifton,Staten Island
883,Bay Ridge,Brooklyn
957,Graniteville,Staten Island
966,Spuyten Duyvil,Bronx
967,Stapleton,Staten Island
974,Briarwood,Queens
975,Ozone Park,Queens
976,Columbia St,Brooklyn
1033,Vinegar Hill,Brooklyn
1060,Mott Haven,Bronx
1069,Longwood,Bronx
1070,Canarsie,Brooklyn
1108,Battery Park City,Manhattan
1139,Civic Center,Manhattan
